id,score_date,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent
JMAN_18354320,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9747161,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,9
JMAN_9034647,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,8,0,12.0,0,0
JMAN_9702646,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,9,1,1.0,0,47
JMAN_9001490,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,11,0,12.0,0,2
JMAN_10535735,2023-02-03,0,0,0.0,0.0,0.0,8.0,0,10,0,7.0,1,554
JMAN_2454712,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,11.0,0,0
JMAN_2453288,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,11,1,0.0,0,249
JMAN_18410392,2023-01-27,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0
JMAN_2319823,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,8,0,3.0,0,29
JMAN_9129318,2023-01-06,100,5,0.0,0.0,0.0,0.0,0,0,0,19.0,35,474
JMAN_2481898,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,0
JMAN_9004606,2023-01-06,0,0,0.0,0.0,0.0,0.0,1,3,0,1.0,0,0
JMAN_2475394,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,12,0,11.0,0,26
JMAN_15078349,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_2481325,2023-03-10,100,50,0.0,0.0,0.0,0.0,0,10,0,12.0,0,58
JMAN_2396226,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,9,0,7.0,0,0
JMAN_9021651,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,8,0,6.0,0,0
JMAN_9022776,2023-03-24,0,0,100.0,100.0,10.0,10.0,0,0,0,15.0,0,177
JMAN_9242624,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,0,0,14.0,0,280
JMAN_2474033,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,0
JMAN_9026440,2023-02-03,100,100,0.0,0.0,0.0,0.0,0,0,0,14.0,0,0
JMAN_9056184,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,11,0,5.0,0,0
JMAN_2482561,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,8,0,3.0,0,19
JMAN_2456281,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,8,0,11.0,0,6
JMAN_11249333,2023-03-24,100,20,0.0,0.0,0.0,0.0,0,0,0,17.0,0,97
JMAN_9021732,2023-01-13,0,0,0.0,100.0,0.0,10.0,0,9,0,10.0,0,4
JMAN_9059722,2023-02-24,100,33,0.0,0.0,7.0,7.0,0,12,0,5.0,1,186
JMAN_2433825,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,15,1,0.0,0,4
JMAN_18127929,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_18410388,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_2462717,2023-01-13,100,100,0.0,0.0,0.0,0.0,0,6,0,4.0,0,47
JMAN_2453359,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,0,0,20.0,0,113
JMAN_10575478,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,9,1,1.0,0,27
JMAN_9258120,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,8,1,0.0,0,4
JMAN_2468303,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,7,0,12.0,0,7
JMAN_9004478,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,10,0,11.0,0,17
JMAN_18390982,2023-01-06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9023149,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,6,0,4.0,0,0
JMAN_15982019,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,9,0,0.0,0,0
JMAN_2481177,2023-01-06,100,29,-100.0,-100.0,4.5,4.5,0,5,0,2.0,1,118
JMAN_9001356,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,10,0,11.0,0,1430
JMAN_2470297,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,5.0,0,0
JMAN_11604060,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,15,1,0.0,0,0
JMAN_2390400,2023-02-10,0,0,-100.0,-100.0,5.0,5.0,0,0,0,14.0,0,10
JMAN_2464269,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,9,0,10.0,0,295
JMAN_9001380,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,12,0,5.0,0,0
JMAN_9021651,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,5.0,0,0
JMAN_2449317,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,5,0,3.0,0,0
